model,title,price,rating,reviews
pencil,Liquid Eye Shadow Pencil Waterproof Glitter Eyeshadow Pen Highlighter Eyeliner,"76,569.81 VND,79,572.57 VND",,
pencil,Chinagraph PENCIL China Marker Crayon KOH-I-NOOR Write On Gloss Glass Metal,"132,120.48 VND,258,235.48 VND",,
pencil,women Beauty Smooth Lasting Black Eyeliner Pencil Makeup tool Waterproof,"26,402.00 VND",,
pencil,Tattoo Pen Brow Tint Eyebrow Pencil Brow Enhancer Eye Makeup Natural Waterpro #,"42,274.64 VND",,
pencil,Waterproof Microblading Eye Brow Eyeliner Eyebrow Pen Pencil Brush Makeup Tool.,"35,476.19 VND",,
pencil,Pencil Sharpener Metal Aluminium Single Hole Drawing School Art Qty 1 - 1200,"55,550.67 VND,6,756,160.71 VND",,
pencil,Maybelline Brow Satin Duo Pencil + Filling Powder,"179,864.02 VND,188,872.24 VND",,
pencil,Microblading Eye Brow Eyeliner Eyebrow Pen Pencil Brush Makeup C9P4,"26,190.48 VND,28,095.24 VND",,
pencil,Matte Liquid Lipstick Lip Gloss+Lip Liner Pencil Kit Set Long Lasting Non-stick,"95,787.36 VND,101,792.83 VND",,
pencil,Apple Pencil 2nd Generation - MUBF2ZM/A 🔥BRAND NEW SEALED + FAST & FREE🔥,"2,971,209.36 VND",5.0 out of 5 stars.,291 product ratings
